Area,Perimeter,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Solidity,roundness,Compactness,Class
28395,610.2909999999998,208.17811670852728,173.88874704163598,0.5498121871383472,28715,0.7639225181598063,0.9888559986069998,0.9580271262501276,0.9133577547957626,3
28734,638.0179999999999,200.5247956636481,182.73441935102403,0.4117852513672403,29172,0.7839681327076286,0.9849856026326614,0.8870336365528869,0.9538608422605128,3
29380,624.11,212.8261298602065,175.93114261271373,0.5627273167504117,29690,0.7781132475237036,0.9895587739979792,0.9478494730164112,0.9087742385103312,3
30008,645.8839999999999,210.5579989609251,182.51651569530463,0.4986159764027165,30724,0.7826812728221179,0.9766957427418304,0.9039363743173376,0.9283288347599437,3
30140,620.1339999999999,201.84788216673783,190.27927878664835,0.333679657773177,30417,0.7730980351921203,0.9908932504849262,0.9848770693509096,0.970515523241471,3
30279,634.927,212.5605564253862,181.5101815997528,0.5204006602912636,30600,0.775688484693224,0.9895098039215686,0.9438517832505928,0.9237259515228944,3
30477,670.033,211.05015532184012,184.03905011294344,0.489477894457261,30970,0.7624015009380863,0.9840813690668389,0.8530798687748348,0.9333735523038642,3
30519,629.7269999999999,212.9967550563458,182.73720376406496,0.5137595579635882,30847,0.7706818181818181,0.989366875222874,0.9671092439901504,0.9254803918415592,3
30685,635.6809999999999,213.5341451645164,183.1571462959737,0.5140808603472914,31044,0.7715614785013829,0.9884357685865224,0.9542398075022368,0.9256584976908389,3
30834,631.934,217.22781276440924,180.89746857382104,0.5536422246843214,31120,0.7836828059473885,0.990809768637532,0.9702782301205948,0.9121254299560562,3
30917,640.765,213.560089393098,184.43987085903285,0.5041023654121609,31280,0.7708052854649713,0.9883951406649616,0.9462581799326396,0.9290383427519496,3
31091,638.558,210.4862548708281,188.32684762014023,0.4466219235668545,31458,0.7863773174494777,0.9883336512174964,0.958172835629964,0.9452543046697848,3
